ID,性別,年齡,擇偶條件文字
1,女,24,希望對方愛看劇、有興趣愛好、會彈吉他、不挑撥是非、不無故翻臉、跟家人關係好、有責任感、有責任感、身高超過170、不過度打扮。
2,女,29,希望對方願意一起成長、有責任感、喜歡運動、愛看展覽、不怕變化、想養寵物、有副業收入、願意共同負擔生活。
3,女,26,希望對方不社恐、會聊天、不嗆人、懂保險、不啃老、不拖欠債務、身高超過170、看起來舒服、重視兩人未來、不怕承諾、大方、有擔當、環保意識、乾淨整潔。
4,女,28,希望對方有穩定朋友圈、有朋友但不愛玩過頭、會打掃、懂得休息、不打遊戲成癮、有責任感、大方、願意道歉、不情緒勒索、不濃妝豔抹、不亂刺青、注重整潔。
5,女,29,希望對方不限制交友、不翻舊帳、想養寵物、不怕變化、不打遊戲成癮、不懶惰、願意幫忙朋友、會維持親密關係。
6,女,20,希望對方不油條、不社恐、願意妥協、能給空間、不控制人、有責任感、有責任感、有責任感、不愛比較、不八卦、不公主病、不蓬頭垢面、不亂刺青、有興趣愛好、喜歡閱讀。
7,女,25,希望對方溫柔、善良、作息正常、乾淨整潔、願意一起成長、有信仰、願意一起成長、不當巨嬰、尊重我的家人、能維護伴侶形象、會規劃兩人生活、對未來有規劃、喜歡跳舞、有興趣愛好。
8,女,21,希望對方不怕承諾、不逃避現實、希望買房、有耐心、幽默、愛看書、會畫畫、不太邋遢、牙齒整齊、髮型清爽。
9,女,20,希望對方有明確職涯規劃、有上進心、不限制交友、不情緒勒索、願意改變、不大男人主義、尊重女性、願意求助專業、想結婚、不逃避現實、喜歡逛街、喜歡旅行、喜歡運動、身高超過170、不蓬頭垢面。
10,女,29,希望對方喜歡旅行、喜歡運動、愛寫作、希望買房、不排斥生小孩、想結婚、注重整潔、穿搭得體、會做家事、不亂花錢、不抽菸。
11,女,27,希望對方不講別人壞話、不吵鬧、乾淨、不穿拖鞋出門、希望買房、能共同成長、有明確職涯規劃、不拖欠債務、重視家庭、願意一起成長、支持我的夢想。
12,女,27,希望對方有信仰、有責任感、有責任感、有擔當、不暴躁、不抽菸、願意陪伴、不油條、不裝熟、能應對場合、有副業收入、會投資、不過度節省。
13,女,23,希望對方能獨立生活、不拖欠債務、喜歡旅行、會畫畫、願意面對問題、想養寵物、希望買房、不性別歧視、孝順、不花心、能傾聽、善良、尊重我的家人、不公主病、不挑撥是非。
14,女,25,希望對方乾淨整潔、會做家事、守時、不讓我覺得無聊、尊重我的朋友、善良、穩重、愛看展覽、愛寫作。
15,女,28,希望對方會彈吉他、愛養寵物、愛看展覽、願意幫忙朋友、不講別人壞話、願意共同負擔生活、不過度節省、有存款觀念、不穿拖鞋出門、牙齒整齊、不裝熟、會聊天。
16,女,28,希望對方喜歡旅行、喜歡閱讀、有責任感、有責任感、誠實、不打遊戲成癮、有生活目標、願意陪伴、不愛炫耀、尊重我的朋友、不八卦、願意幫忙朋友、有穩定朋友圈。
17,女,26,希望對方目標明確、會談論未來、願意道歉、不限制交友、喜歡閱讀、會畫畫、喜歡運動、不嗆人、不尷尬、跟家人關係好、會維持親密關係、能接受朋友的不同、成熟、不暴躁。
18,女,23,希望對方不過度節省、理財觀念佳、有上進心、想養寵物、希望買房、願意討論婚姻、喜歡手作、愛看展覽、不裝熟、不過度自卑、誠實、不情緒化、成熟、不邋遢、髮型清爽、不蓬頭垢面。
19,女,25,希望對方不穿拖鞋出門、不邋遢、不過度自卑、不社恐、會主動開話題、願意分享、不大男人主義、不翻舊帳、願意陪伴、信任對方、重視健康、不抽菸、乾淨整潔、愛看書、愛看劇、喜歡跳舞。
20,女,22,希望對方注意儀容、不抽菸、乾淨整潔、不挑撥是非、願意幫忙朋友、有自己的夢想、會規劃兩人生活、不排斥生小孩、有自信、有責任感。
21,女,26,希望對方理財觀念佳、能獨立生活、有正職工作、會溝通、細心、有耐心傾聽、願意道歉、尊重隱私、有話題、懂得傾聽、能應對場合、不穿拖鞋出門、有打理自己。
22,女,25,希望對方重視家庭、不性別歧視、重視家庭、身高超過170、牙齒整齊、有正職工作、具備工作熱忱、不吵鬧、不媽寶、跟家人關係好、會打掃、注意儀容。
23,女,23,希望對方不性別歧視、重視家庭、願意一起成長、獨立、不情緒化、幽默、信任對方、有耐心傾聽、能一起解決問題、能共同成長、願意面對問題、目標明確。
24,女,29,希望對方有責任感、同理心強、有信仰、願意討論分歧、願意妥協、善良、有責任感、尊重人、懂得休息、作息正常、有生活目標、會主動開話題、懂人情世故、不冷場。
25,女,27,希望對方願意陪伴、愛整潔、喜歡運動、會打遊戲、不過度自戀、不冷場、願意陪伴、願意妥協、不怕承諾、目標明確。
26,女,30,希望對方有責任感、有耐心、獨立、乾淨整潔、不打遊戲成癮、願意一起成長、重承諾、不講別人壞話、不媽寶、愛寫作、會打遊戲、有上進心、會投資、不做高風險投資。
27,女,27,希望對方目標明確、不怕變化、牙齒整齊、不油膩、喜歡聽音樂、喜歡咖啡廳、願意陪伴、不抽菸。
28,女,30,希望對方有自己的夢想、會規劃兩人生活、有自信、會溝通、有責任感、有責任感、不說謊、支持我的夢想、會打遊戲、喜歡逛街。
29,女,23,希望對方不邋遢、身高超過170、注重整潔、會打遊戲、喜歡手作、不啃老、有上進心、不講別人壞話、不愛比較、有自己的夢想、重視兩人未來、願意面對問題、乾淨整潔、會打掃。
30,女,22,希望對方願意妥協、能給空間、不情緒勒索、願意求助專業、不怕承諾、有責任感、有擔當、尊重我的朋友、會主動開話題、牙齒整齊、不抽菸黃牙、不蓬頭垢面、有責任感、尊重他人自由、有責任感。
31,女,25,希望對方不講別人壞話、有穩定朋友圈、重視飲食、不打遊戲成癮、願意陪伴、不尷尬、懂得傾聽、懂人情世故、願意討論分歧、能一起解決問題、願意鼓勵我。
32,女,23,希望對方不穿拖鞋出門、不亂刺青、能獨立生活、有上進心、不做高風險投資、不愛比較、不無故翻臉、不嗆人、懂人情世故、樂觀、溫柔、有責任感。
33,女,22,希望對方想結婚、能接受伴侶家庭、不無故翻臉、跟家人關係好、有穩定朋友圈、會做菜、喜歡旅行、愛養寵物、乾淨整潔、不抽菸、重視飲食、看起來舒服、不太邋遢、順眼。
34,女,25,希望對方乾淨、身高超過170、有責任感、重視誠信、不當眾羞辱人、不讓我覺得無聊、乾淨整潔、願意陪伴。
35,女,22,希望對方會做家事、環保意識、想養寵物、會談論未來、不亂刺青、不過胖、不濃妝豔抹、尊重隱私、願意陪伴。
36,女,26,希望對方溫柔、有責任感、乾淨整潔、不抽菸、守時、願意鼓勵我、不愛指責、不邋遢、穿搭得體。
37,女,24,希望對方不打遊戲成癮、不懶惰、會溝通、成熟、獨立、不油條、會帶我進朋友圈、不尷尬、有正職工作、理財觀念佳、願意共同負擔生活。
38,女,30,希望對方有朋友但不愛玩過頭、願意幫忙朋友、成熟、有擔當、不當眾羞辱人、不冷場、會帶我進朋友圈、願意一起成長、重視家庭、尊重女性。
39,女,29,希望對方能傾聽、有責任感、乾淨整潔、乾淨整潔、自律、不逃避現實、會規劃兩人生活、不排斥生小孩、順眼、乾淨、有話題、懂人情世故。
40,女,28,希望對方願意陪伴、不情緒勒索、尊重我的選擇、幽默、有責任感、穩重、有生活目標、懂得休息、尊重我的家人、不吵鬧、不當巨嬰、願意討論婚姻、願意定居台灣、能共同成長、能獨立生活、經濟穩定、有上進心。
41,女,20,希望對方會帶我進朋友圈、懂得傾聽、不愛炫耀、不啃老、能獨立生活、不拖欠債務、不吵鬧、能維護伴侶形象、有責任感、思想開放、會做菜、有興趣愛好。
42,女,30,希望對方孝順、重視家庭、有責任感、喜歡閱讀、愛看展覽、有副業收入、能獨立生活、幽默、成熟、對未來有規劃、想結婚、目標明確。
43,女,24,希望對方愛看展覽、會做菜、有耐心、會溝通、有上進心、能獨立生活、不怕承諾、會談論未來、想結婚、不當眾羞辱人、有話題、尊重我的朋友、不穿拖鞋出門、不濃妝豔抹、指甲整潔。
44,女,28,希望對方不抽菸、自律、不冷場、懂人情世故、不穿拖鞋出門、不濃妝豔抹、乾淨、樂觀、誠實、不暴躁、不媽寶、跟家人關係好。
45,女,28,希望對方信任對方、不控制人、能給空間、能應對場合、不過度自卑、重視家庭、重視家庭、不愛比較、不媽寶、不逃避現實、會談論未來、願意求助專業、不頻繁換工作、有上進心、願意共同負擔生活。
46,女,24,希望對方目標明確、願意求助專業、不怕承諾、樂觀、善良、溫柔、不裝熟、懂得傾聽、會做家事、願意陪伴、守時、不自以為是、能接受朋友的不同、善待動物、忠誠、有責任感、思想開放。
47,女,29,希望對方不油膩、不抽菸黃牙、穿搭得體、能傾聽、成熟、有責任感、願意道歉、能一起解決問題、不佔有慾強、能共同成長、重視兩人未來、對未來有規劃、有生活目標、乾淨整潔、能維護伴侶形象、不自以為是、尊重我的家人。
48,女,28,希望對方會畫畫、愛養寵物、會主動開話題、不嗆人、懂人情世故、會談論未來、不怕承諾、支持我的夢想、不花心。
49,女,28,希望對方有自信、穩重、有責任感、願意了解我的圈子、能維護伴侶形象、有正職工作、不過度節省、乾淨整潔、願意陪伴、注意儀容、會聊天、不隨便開黃腔。
50,女,26,希望對方不過胖、指甲整潔、注重整潔、有責任感、思想開放、支持我的夢想、不愛炫富、有明確職涯規劃、不控制人、願意陪伴、願意討論分歧、有擔當、不情緒化。
